"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"248","92","During previews Clever, Thought-provoking, Must see, Refreshing, Hilarious  Wes H",""," April 13th, 2017","See it if You've always wondered what Nora (and her family) dealt with after she left. It's pure brilliance, honestly.","Don't see it if you dislike anachronistic or Brechtian styles, you don't like Doll's House, you are a purist.="
"249","94","During previews Funny, Clever, Great acting, Intelligent, Entertaining  alex4chang",""," April 10th, 2017","See it if you are looking for a Broadway play with many layers to each character and an interesting plot.","Don't see it if you are wanting a  flashy  show with high production value. This show moves the audience purely with the talent on stage and the story.=Also Went into the show with no expectations and was highly surprised. A show with such great talent on stage and a script that keeps you on the edge of your seat. I normally don't recommend shows, but this was a good evening out to the theater....<U+00A0>Read more Read less="
"250","90","During previews Clever, Great acting, Must see, Hilarious  Opal",""," April 10th, 2017","See it if you like to see all the  Do Not Miss's  cause this is one NOT to miss; also if you're a Laurie Metcalf fan; she shines","Don't see it if you need big staging or lots of action, this is small in activity, but big in story and laughs.="
"251","93","During previews Funny, Great acting, Love laurie metcalf!  Dave",""," April 10th, 2017","See it if A cast of Tony, Oscar and Emmy winners appeals to you and you have a sense of humor. Laurie Metcalf has the funniest facial expressions ever","Don't see it if The idea of a largely comedic sequel to the drama classic A Doll's House offends you="
"252","95","During previews Funny, Clever, Great acting, Relevant, Riveting  Susan D 6108",""," April 10th, 2017","See it if You are a theater lover with a familiarity with the original (better if you know it but understandable even if you don't).","Don't see it if Modern language/idioms in the mouths of Ibsen's characters will bother you.="
"253","85","During previews Great acting, Relevant, Great writing, Great staging  Bradley Jadwin",""," April 10th, 2017","See it if You are a fan of Laurie Metcalf as she is onstage nearly the entire show. The other three actors are all putting in terrific work.","Don't see it if You aren't a fan of modern adaptations or elaborating on classic text="
"254","90","During previews Funny, Clever, Great acting, Great writing  Marisa L",""," April 9th, 2017","See it if You're familiar w/ the Ibsen classic and want to see a masterful sequel that pokes fun of its predecessor while still delivering poignancy.","Don't see it if You don't like Ibsen characters and storylines being transformed into an almost Brechtian style.="
"255","85","During previews Absorbing, Clever, Great acting, Intelligent  Mark 30",""," April 9th, 2017","See it if you want to see great acting and direction","Don't see it if you are not familiar with at least the basics of the plot of A Doll's House by Ibsen="
"256","86","During previews Funny, Clever, Delightful, Great acting, Intelligent  Ballerina",""," April 9th, 2017","See it if you want to see a clever, well-acted, 90 minute piece of theater! The time flew by!","Don't see it if you want to see a show with a lot of production value. You don't know the source material at all.=Also All four actor give stellar and hilarious performances and are the reason to see this play! I was surprised how quickly the time flew and how much I enjoyed it. I expected it to be far more  fanfic-y . It was smart and pulled a lot from the original. I've read several reviews that say that you don't need to know the original to enjoy it, and while that may be true, I think there is another level to be enjoyed if you do. One moment in particular when the Ibsen is quoted from Nora's  novel  comes to mind. Made for an enjoyable, nerdy night at the theater! Worth seeing!...<U+00A0>Read more Read less="
"257","81","During previews Funny, Absorbing, Great acting  Cary G",""," April 9th, 2017","See it if You would like to see some great performances in a well written dramatic piece with some laughs thrown in. Jayne Houdyshell is superb!","Don't see it if You'd rather see something lighter and less serious. This is serious drama with real issues.="
"258","40","During previews Great acting, Awful play  Sally 5",""," April 9th, 2017","See it if You want to see a terrible idea of a play with a great cast that is completely wasted in this poorly written, boring production.","Don't see it if You don't mind being bored out of your mind & confused about whether it's a comedy or a drama. What did these great actors see in THIS !="
"259","92","During previews Absorbing, Clever, Great acting, Must see, Riveting  Dayna K",""," April 9th, 2017","See it if you want to see a seamless ensemble with a fresh new update to a classic","Don't see it if don't like theater="
"260","79","During previews Funny, Clever, Great acting, Intelligent, Great writing  susan 6042",""," April 9th, 2017","See it if You want to see a very clever, well-written, well-acted sequel to Ibsen's Doll House","Don't see it if It will not be nearly as meaningful if you are not familiar with the original Doll House="
"261","100","During previews Absorbing, Great acting, Intense, Riveting, Modern  Sallie917",""," April 9th, 2017","See it if you want great acting.No need to see/read part 1.Love use of modern language as to not detract from actors & what they have to say, intense.","Don't see it if you want a fun & musical play. Acting is very intense in this play. You will need to focus on actor's words and movements.Serious & relevant=Also Even though the subject matter is very serious, the material is presented with a lot of humour which I appreciated. I did laugh a lot at this play which made it enjoyable for me. Even though this is a period piece the contemporary language made this play easier to understand for me, I completely agree with their decision to use the language of today. It makes the play more relatable. IMHO, isn't that the point of any material that is presented to an audience, to have the audience understand the material ...<U+00A0>Read more Read less="
"262","90","During previews Absorbing, Clever, Great acting, Masterful, Relevant  George 1776",""," April 8th, 2017","See it if You want a minder take on a classic. Masterful acting!","Don't see it if Expect  classic  language or staging. Also, don't see it if you aren't prepared to question your perceptions="
"263","93","During previews Funny, Intelligent, Quirky, Entertaining  Marty 2",""," April 8th, 2017","See it if You are not expecting a period dolls house 2, cause it just ain't that--but rather an inventive updated 21st century version of #2","Don't see it if You can't think beyond your nose.="
"264","90","During previews Ambitious, Clever, Must see  Jen Sandler",""," April 8th, 2017","See it if You want to see a hilarious fan fiction esque piece of theatre. This was a well crafted, surprising night of theatre! Go!","Don't see it if You do not like modern day satire like adaptations of classic work.="
"265","87","During previews Funny, Absorbing, Great acting, Intelligent, Riveting  EJ",""," April 7th, 2017","See it if You want to see some killer performances. Laurie Metcalf delivers one of my favorite performances of the season.","Don't see it if You don't like having to keep up with fast paced dialogue.=Also YOU DO NOT NEED TO KNOW A DOLL'S HOUSE TO LOVE THIS SHOW. You can walk in knowing nothing about the Ibsen piece and be just as absorbed. For your own entertainment, Google the synopsis of the original, but it's not necessary....<U+00A0>Read more Read less="
"266","87","During previews Absorbing, Intelligent, Profound, Great writing, Entertaining  Emily NYC 711",""," April 7th, 2017","See it if You're intetested in femimism or movements in general. It really examines the societal issues behind equality and change.","Don't see it if You haven't read or seen A Doll's House or you don't like intellectual theater.="
"267","79","During previews Funny, Clever, Great acting, Intelligent, Thought-provoking  Reviewer123",""," April 6th, 2017","See it if you read a Doll's house. This is an interesting and thought provoking exploration into gender roles, marriage, divorce, etc.","Don't see it if an on the nose start is going to bother you. The first 15 minutes were heavy handed--but it really did improve and I enjoyed it thoroughly!="
"268","69","During previews Clever, amusing, entertaining  Philip 6247",""," April 6th, 2017","See it if you're interested in follow-ups to or variations on earlier, established works --e.g., Clybourne Park, The Meursault Investigation.","Don't see it if you consider A Doll's House (Part 1) a complete work in itself or find contemporary language an annoyance in a 19th century setting.=Also Enjoyable but not Ibsen. The plot has holes. What Nora needs is not just a divorce but one dated 15 years ago. Thanks to the lawsuit, her marital status is known & soon the lie that she<U+2019>d died will be too. So Torvald is already ruined; filing for divorce only hastens his demise. The questions about marriage, freedom, the role of women & mothers in society & marriage are often compelling. The arguments are <U+201C>fair and balanced<U+201D> though I wish the play would take a stance for one side. The underlying question is: how would the lives of these people been different if Nora had stayed  Nora more or less answers that question, but the others don<U+2019>t. The exchanges are always between 2 characters; I wonder what sparks might have flared had Nora, Torvald, & Emmy wrangled all at once. Emmy's the most intriguing character<U+2014>sardonic & unemotional: the perfect character to ask her parents what they saw in each other in the first place; is she this way because Anne Marie brought her up ...<U+00A0>Read more Read less="
"269","86","During previews Funny, Great acting, Entertaining  Paul H",""," April 6th, 2017","See it if you love a great comedy put on by a wonderful acting ensemble.","Don't see it if you prefer to leave a classic left finished as is.="
"270","89","During previews Absorbing, Great acting, Thought-provoking, Relevant, Great writing  AGC",""," April 6th, 2017","See it if you want to see some masterful acting from Laurie Metcalf and cast, thrilling new take on what might have happened to Nora (Doll's House)","Don't see it if you need an intermission, didn't like A Doll's House and don't care for family/marriage dramas, contemporary text with time period setting="
"271","82","During previews Ambitious, Clever, Great acting, Intelligent, Relevant  Brett 212",""," April 4th, 2017","See it if You loved A Doll's House and you've indulged in the fantasy of what happened after the door slammed. It's a great cast too.","Don't see it if You're expecting a continuation. It's not. (But to try to do so would be so wrong.) this is an explanation of the characters 15 years later=Also Laurie Metcalf and Jayne Houdyshell bring their A game to the stage. (But they always do.) I'd be surprised if neither is nominated for a Tony Award......<U+00A0>Read more Read less="
"272","94","During previews Great acting, Thought-provoking, Must see, Relevant, Great writing  Beverly NYC",""," April 4th, 2017","See it if You want a old/modern take on the merits of marriage. Want to think about being single or not. Excellent writing, terrific actors!!","Don't see it if Current language juxtaposed with the Victorian era. You don't want to think and just be entertained.="
"273","79","During previews Funny, Ambitious, Clever, Enchanting, Entertaining  Denis S",""," April 4th, 2017","See it if you like to see the cast members in anything. Also it's only 90 minutes and not boring.","Don't see it if if you don't like classics really messed with in an attempt to be funny.="
"274","77","During previews Intelligent, Thought-provoking, Refreshing  Cyndi V",""," April 3rd, 2017","See it if You enjoy a play that tells a story, but leaves you to judge the characters yourself. This play is an excellent piece, and was not sad.","Don't see it if You are looking for a fun musical. This is a four person play.="
"275","72","During previews Funny, Intelligent, Intense, Relevant, Disappointing  egomenderaolcom",""," April 2nd, 2017","See it if If you like thoughtful topics about women's liberation, marriage and a combination of views on the topic. If you want to see this cast.","Don't see it if You are not interested in Ibsen's story and what might have happened to Nora and everyone else, after she left.=Also Unfortunately, although the acting was good, it was very difficult to hear Chris Cooper... even from the Orchestra. People in the mezzanine couldn't hear him at all....<U+00A0>Read more Read less="
"276","77","During previews Funny, Clever, Intelligent, Entertaining, Fluffy  Davidunger",""," April 2nd, 2017","See it if You want 90 mins of fun","Don't see it if You don't know the premise="
"277","80","During previews Ambitious, Great acting, Intelligent, Thought-provoking, Great writing  JWilliams",""," April 2nd, 2017","See it if you want to see the indomitable Laurie Metcalf deliver Lucas Hnaths' spirited script. The play is a vehicle for them to debate his ideas.","Don't see it if you don't like plays mixing classic and contemporary styles. The minimalist approach makes the audience focus on Hnath's words.="
"278","95","During previews Clever, Great acting, Thought-provoking, Great writing, Hilarious  Ed 24601",""," April 2nd, 2017","See it if you like great acting, clever dialog and examinations of couplehood, parenthood and selfhood.","Don't see it if you hold the original show as sacred, you like sets with a variety of furniture, or you're holding a grudge against John Golden.=Also The characters all have high stakes, they all get their chance to make their arguments. The writing sparkles, the actors are on, and with only one act, there's no excess....<U+00A0>Read more Read less="
"279","95","During previews Jayne houdyshell is a treasure  John Ned",""," April 1st, 2017","See it if Wonderful performances from a terrific cast in a intelligent, fully realized play that makes you laugh and think.","Don't see it if You find it hard to sit through a ninety minute play without stretching during a intermission.=Also A Doll's House part 2 is very entertaining ... give this one a chance and go see it....<U+00A0>Read more Read less="
"280","92","During previews Clever, Great acting, Resonant, Great writing, Entertaining  Sam E 6142",""," April 1st, 2017","See it if you want a script that will make you laugh, but also manages to be poignant. And if you want great acting: the cast is sublime","Don't see it if You are looking for it to mirror the original Ibsen play. Dont need any knowledge of that play to enjoy this, but the tone is a total 180="
"281","75","During previews Ambitious, Intelligent, Thought-provoking  Member 2ad54e71",""," March 31st, 2017","See it if Like challenging theatre.","Don't see it if You don't want ri think too hard="
"282","80","During previews Absorbing, Clever, Entertaining  Donald 6082",""," March 31st, 2017","See it if You are someone who enjoys  what if  scenarios. Also if you are a Jayne Houdyshell fan.","Don't see it if Have no sense of suspension of disbelief. Here, it is essential.="
"283","50","During previews Preachy, Ambitious, Great acting  Samantha Stevens",""," March 30th, 2017","See it if You are big into feminism. It felt a bit too preachy at times, and the script was questionably written.","Don't see it if You don't enjoy 'A Doll's House.' Or if you prefer musicals. DON'T see it if you don't like long plays with no interval="
"284","72","During previews Thought-provoking, Quirky, Refreshing  Haley 7075",""," April 26th, 2017","See it if You are looking for something thought-provoking, modern, and you love great acting.","Don't see it if you are offended by the idea of divorce and women's independence.=Also You don't need to see Part 1 in order to see this play, but read up on what happened in Part 1 so that you have some context going in....<U+00A0>Read more Read less="
"285","95","During previews Ambitious, Great acting, Thought-provoking, Must see, Great writing  Member 6082",""," April 24th, 2017","See it if you want to see great acting of an excellent and entertaining play about relevant and important themes.","Don't see it if you prefer stuffy theater.="
"286","92","During previews Funny, Absorbing, Clever, Great acting, Intelligent  Chas 7114",""," April 24th, 2017","See it if You like good dialog and an imaginative and relevant revisit of the Ibsen classic.","Don't see it if You lack a  what if  imagination.="
"287","90","During previews Funny, Absorbing, Great acting, Thought-provoking, Must see  Member 705524",""," April 22nd, 2017","See it if You are interested in women and what it is to be a woman today and hearing a new take on topics like marriage.","Don't see it if You hate minimialist productions and women's perspective."
"288","78","During previews Clever, Great acting, Entertaining, Great ensemble, Interesting plot  Janet 7082",""," April 21st, 2017","See it if you like the original, love Laurie Metcalf and Jane Howdyshell, and want to see a better ending.","Don't see it if you hate the premise of rewriting classics."
"289","90","During previews Ambitious, Great acting, Intelligent, Thought-provoking, Resonant","BroadwayBaby","On"," April 21st, 2017","See it if you ever wondered what happened to Nora after the door slammed in A Doll's House.=Don't see it if you don't know A Doll's House or prefer your classics straight up.=Also What may seem like an academic gimmick, is really a profound play about relationships, regret and human nature. Laurie Metcalf is wonderful....<U+00A0>Read more Read less"
