"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"3317","87","Clever, Intelligent, Refreshing, Great writing, Great staging  Jane L 7104",""," April 20th, 2017","See it if You have any interest in American history, and enjoy something new and creative.","Don't see it if If you don't enjoy rap music, although it is not all rap, or if you only like  traditional  Broadway musicals."
"3318","100","Epic, Great acting, Great singing  Sherri 7110",""," April 20th, 2017","See it if It has amazin actors and singers.","Don't see it if It doesn't have amazing actors. But they did.="
"3319","100","Masterful, Must see, Riveting, Great writing, Great singing  Katie V 7110","  On","See it if you are ready to get your SOCKS blown off. If you aren't familiar, don't go into it with any expectations. Just enjoy.","Don't see it if amazing writing, singing and acting isn't your thing. Seriously, this show is for everyone. It's amazing.",""
"3320","99","Clever, Epic, Masterful  Paul S 6134",""," April 19th, 2017","See it if If you love Lin-Manuel Miranda or amazing contemporary music written by a genius.","Don't see it if You don't like modern music.="
"3321","100","Funny, Absorbing, Ambitious, Delightful, Enchanting  Daka S",""," April 19th, 2017","See it if You love history or Lin-Manuel Miranda.","Don't see it if If you hate theatre.="
"3322","100","Absorbing, Clever, Great acting, Great writing, Great staging  Jaime 7109",""," April 19th, 2017","See it if Most amazing show I have EVER seen. Would see 20 times over. Inspitational","Don't see it if None, your crazy not to see.="
"3323","100","Absorbing, Clever, Delightful, Enchanting, Entertaining  Alexis 710949","  On","See it if you are a history buff, and is interested in the revuloutionary war","Don't see it if if you hate history",""
"3324","100","Absorbing, Great acting, Great writing  Katelynn R","  On","See it if you love anything by Lin Manuel Miranda","Don't see it if you are not into diversity",""
"3325","100","Ambitious, Epic, Great writing, Great singing, Great staging  Joseph 7108",""," April 18th, 2017","See it if You are a fan of rap music, history, or musical theater.","Don't see it if You have trouble with fast rap lyrics."
"3326","100","Clever, Must see, Great writing, Great singing  Melissa H 7108",""," April 18th, 2017","See it if Have not seen the show yet except for promo clips, and I have listened to the album on repeat enough to know this show is a must see.","Don't see it if Ummm can't think of any reason why you shouldn't see the show :)="
"3327","100","Absorbing, Ambitious, Entertaining, Completely inventive  Donald W 6155","  On","See it if See it if you love history, Love great music, or give even the tiniest damn about theater .","Don't see it if Don't see it if you don't like things that are awesome. Anybody who cares about theater will love this show.",""
"3328","100","Clever, Delightful, Great writing, Hilarious, Entertaining  Sierra H 7108",""," April 18th, 2017","See it if You love bringing history to life through wonderful songs and acting.","Don't see it if Are more into autotuned music and don'ttake a liking in knowing history in the slightest.="
"3329","100","Delightful, Epic, Intelligent, Masterful, Must see  Patti 11",""," April 18th, 2017","See it if you are open to new concepts, history, all types of music, fluid movement and transitions, breathtaking storytelling with awesome singing","Don't see it if you can't grasp non-traditional concepts or accept fast-paced dialogue and some hip hop history telling.="
"3330","99","Absorbing, Masterful, Must see, Great writing, Great staging  Edie R 7108",""," April 18th, 2017","See it if For anyone and everyone! Exhilarating! A new American classic!","Don't see it if I found it helpful to be knowledgeable of the soundtrack first- the story and rapping can go very quickly!="
"3331","94","Funny, Clever, Epic, Great writing, Entertaining  Taylor L 7108",""," April 18th, 2017","See it if Perfect for the hip hop lovers. If you've never been to the theatre before this show is a great starting place for you.","Don't see it if You like traditional musical theatre. Focuses more on the lyrics and doesn't have heavy dancing, so that might turn some people off too.="
"3332","100","Absorbing, Ambitious, Clever, Enchanting, Entertaining  Caleb 7107",""," April 17th, 2017","See it if You like history","Don't see it if You don't like history="
"3333","100","Absorbing, Intelligent, Thought-provoking, Profound, Refreshing  Amanda M 7107",""," April 17th, 2017","See it if You enjoy American history, engaging rap/hip-hop music, thinking outside of the box","Don't see it if Your name is Aaron Burr="
"3334","94","Funny, Clever, Delightful, Enchanting, Entertaining  Donna 7085",""," April 17th, 2017","See it if You like a smart show that ties everything together.","Don't see it if You're prepared to hate it because it has hyper hype; this is the rare show that lives up to it and w/out an open mind, you'll miss it."
"3335","98","Ambitious, Dizzying, Enchanting, Exquisite  Member 7040441",""," April 17th, 2017","See it if you are alive","Don't see it if you hate hip hop"
"3336","100","Absorbing, Epic, Intelligent, Masterful, Must see  Susan G 7107",""," April 17th, 2017","See it if You love smart theatre! The use of musical theatre with a soulful hip-hop rap genre to tell historical facts is astounding!","Don't see it if You only like old-school Gershwin style musicals"
"3337","100","Absorbing, Must see, Relevant, Great writing  Carly G 7107",""," April 17th, 2017","See it if You want to be a part of the current conversation on theater, if you like politics and history, if you appreciate creative new theater","Don't see it if You don't like rap - very fast moving lyrics"
"3338","100","Absorbing, Must see, Riveting, Entertaining, Great singing  Ed S 7106","  On","See it if you love musicals, signing, dancing, contemporary shows","Don't see it if you don't like musicals, enjoy signing dancing",""
"3339","100","Funny, Absorbing, Clever, Great acting, Entertaining  Sandy 7106",""," April 16th, 2017","See it if You are passionate about life, music, love, politics","Don't see it if You don't like to be engaged in a show from the first note to the last bit of applause"
"3340","100","Clever, Intelligent, Masterful, Must see, Best show i've ever seen  Jill 7106",""," April 16th, 2017","See it if You are literally anyone. I can't see how you wouldn't enjoy Hamilton.","Don't see it if You should not not see it.="
