"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"207","51","During previews Family friendly, cliched, disappointing  Roger 6083",""," March 24th, 2017","See it if You want a fairy tale family friendly show (no cursing!). Some of the digital  scenery  done very well. Romantic story.","Don't see it if If you want scenery. Simple story which borrows from Cinderella story (sweeper to princess) and Les Miz (Javert character.)=Also Some Russian history helpful especially for young kids...based on true story ...titled Romanov family killed. Did Anastasia escape  Part comedy (just two characters), part drama, part musical. A mixture....<U+00A0>Read more Read less="
"208","65","During previews Disappointing, Great music, Great singing  Greg 6090",""," April 23rd, 2017","See it if if you like gorgeous voices and beautiful projections in conjunction with sets.","Don't see it if you dislike  comic relief  as too caricature instead of character. And if you don't like a director allowing actors to overact.="
"209","45","During previews Boring, Cliched, Misguided, Lazy, Beautiful projections  Anna DeWitt",""," April 21st, 2017","See it if you're a die-hard fan of the movie and want to hear these songs sung live. The video projections and costumes were the real standouts here.","Don't see it if you're looking for the same charm & magic that the movie offers. The animated characters have more chemistry, and the new plot is misguided.=Also Honestly, I'm just not sure who the intended audience for this show is supposed to be. They tried to edge it up by adding  historical  context and cramming in a communist baddie for an added threat, but the material is either too dark for kids or too cartoony for adults. John Bolton and Caroline O'Connor appear to have waltzed in from  The Great Comet  (in the best way possible), while Ramin Karimloo's new character, Gleb, is an unintentionally hilarious Saturday morning cartoon villain. The stakes are non-existent, the plot is full of contrivances, and the whole show is FAR too long and padded....<U+00A0>Read more Read less="
"210","100","During previews Absorbing, Delightful, Refreshing, Romantic, Fluffy  Tara B 7110",""," April 20th, 2017","See it if you enjoy disney-like shows","Don't see it if you don't enjoy disney or princess type stories="
"211","80","During previews Dated, Entertaining  sandra 6292",""," April 20th, 2017","See it if you like strange love stories...it was a rather cute storyline","Don't see it if you hate stories about girl meets the love of her life.="
"212","60","During previews Cliched, Great singing, Great staging, Fluffy  meccentric",""," April 20th, 2017","See it if You have a special affinity for the film.","Don't see it if You want to see something fresh, inspiring or groundbreaking.="
"213","50","During previews Banal, Disappointing, Insipid, Slow, Fluffy  HAPPY",""," April 19th, 2017","See it if Annastasia fun.","Don't see it if You expect A gorgeous disney ish musical.="
"214","60","During previews Romantic, Disappointing, Slow, Great costumes, Great singing  Albee_Addict",""," April 18th, 2017","See it if you are a great fan of the movie, which many in the audience were, or if you like your musicals light on plot but big in emotion.","Don't see it if overproduced sets and lackluster staging are turn offs. Video screens/projections used as backdrops were majorly distracting.="
"215","85","During previews Enchanting, Great singing, Great for children  Taryn 7023",""," April 18th, 2017","See it if you're a fan of the animated movie and your looking for a family friendly show with lovely music","Don't see it if you're looking for something more profound or challenging, or you don't want to be surrounded by families or children.="
"216","75","During previews Romantic, Entertaining, Great singing, Great staging  JoseRafael R",""," April 18th, 2017","See it if you liked the movie and want to see a beautiful love story.","Don't see it if you are looking for something more profound.="
"217","68","During previews Disappointing, Slow  PeterPeterTheatreEater",""," April 18th, 2017","See it if You're a fan of the film and aren't a regular theatre-goer. If you want to see a property you already love adapted to the stage, here's this","Don't see it if You appreciate theatre that moves and has life. This thing plods along nearly devoid of charm and serves up little else.=Also The pace is very slow, the sets are nearly non-existent, and the staging is dull. You're given a bunch of great costumes but then they're presented in tableau after tableau in front of projections that are pretty, but uninspired. This looks like it was built to tour, not for Broadway. John Bolton and Caroline O'Connor provide the few bright spots in act 2 where they inject some life into the show. To go from such a charming animated adventure to a dreary trudge through the thin plot, it just doesn't compare....<U+00A0>Read more Read less="
"218","94","During previews Delightful, Enchanting, Great acting, Entertaining  Member 709915",""," April 17th, 2017","See it if you like Russian history, musical and fairy tales","Don't see it if If you are looking for a drama="
"219","89","During previews Delightful, Great singing, Great staging  Cyndi V",""," April 15th, 2017","See it if you love Disney. This is a Disney production which lives up to the hype. Great show that deviates just a bit from the animated movie.","Don't see it if you are looking for thought provoking or bright new theater. If you don't like things tied up in a nice Disney bow you won't enjoy this.="
